hex_code,occurence,R,G,B,percent,Movement
#575548,294,87,85,72,0.03,Magic-Realism
#FFFFFF,337824,255,255,255,37.28,Magic-Realism
#1C508C,165826,28,80,140,18.3,Magic-Realism
#469AD8,136286,70,154,216,15.04,Magic-Realism
#311B41,101984,49,27,65,11.25,Magic-Realism
#645670,63715,100,86,112,7.03,Magic-Realism
#070707,50255,7,7,7,5.55,Magic-Realism
#A5C1CC,43162,165,193,204,4.76,Magic-Realism
#07277C,4883,7,39,124,0.54,Magic-Realism
#578292,2262,87,130,146,0.25,Magic-Realism
#E6E3D2,170579,230,227,210,65.26,Magic-Realism
#493D27,43236,73,61,39,16.54,Magic-Realism
#A09E89,34317,160,158,137,13.13,Magic-Realism
#2F8A5F,6333,47,138,95,2.42,Magic-Realism
#976750,5361,151,103,80,2.05,Magic-Realism
#876214,547,135,98,20,0.21,Magic-Realism
#234F2B,414,35,79,43,0.16,Magic-Realism
#080000,363,8,0,0,0.14,Magic-Realism
#652A18,227,101,42,24,0.09,Magic-Realism
#8EB7BD,482480,142,183,189,39.64,Magic-Realism
#CBDCB2,323608,203,220,178,26.59,Magic-Realism
#000000,168294,0,0,0,13.83,Magic-Realism
#472B1F,131240,71,43,31,10.78,Magic-Realism
#815532,59944,129,85,50,4.93,Magic-Realism
#45829E,26012,69,130,158,2.14,Magic-Realism
#566A4E,20992,86,106,78,1.72,Magic-Realism
#B79A6E,3064,183,154,110,0.25,Magic-Realism
#C1723A,1421,193,114,58,0.12,Magic-Realism
#181810,114092,24,24,16,60.18,Magic-Realism
#564D3C,48585,86,77,60,25.63,Magic-Realism
#CDBCA0,18878,205,188,160,9.96,Magic-Realism
#A77A59,3537,167,122,89,1.87,Magic-Realism
#21253E,3328,33,37,62,1.76,Magic-Realism
#366092,1120,54,96,146,0.59,Magic-Realism
#67331E,29,103,51,30,0.02,Magic-Realism
#B34D41,11,179,77,65,0.01,Magic-Realism
#000000,808142,0,0,0,66.75,Magic-Realism
#CFE3A8,145249,207,227,168,12.0,Magic-Realism
#013C36,101137,1,60,54,8.35,Magic-Realism
#589837,58531,88,152,55,4.83,Magic-Realism
#105529,42709,16,85,41,3.53,Magic-Realism
#4CA27F,23142,76,162,127,1.91,Magic-Realism
#072942,16677,7,41,66,1.38,Magic-Realism
#616564,9632,97,101,100,0.8,Magic-Realism
#AFC360,5560,175,195,96,0.46,Magic-Realism
#249FDB,115281,36,159,219,60.81,Magic-Realism
#0B0E17,38071,11,14,23,20.08,Magic-Realism
#353F62,11818,53,63,98,6.23,Magic-Realism
#89E4FF,11408,137,228,255,6.02,Magic-Realism
#2A52CE,9749,42,82,206,5.14,Magic-Realism
#561A22,1501,86,26,34,0.79,Magic-Realism
#912B27,630,145,43,39,0.33,Magic-Realism
#168B9F,608,22,139,159,0.32,Magic-Realism
#E0FFFF,517,224,255,255,0.27,Magic-Realism
#09070C,408974,9,7,12,32.53,Magic-Realism
#BFC8D7,303772,191,200,215,24.16,Magic-Realism
#5A6A83,235403,90,106,131,18.72,Magic-Realism
#E6D8BD,96110,230,216,189,7.65,Magic-Realism
#CBA76D,70981,203,167,109,5.65,Magic-Realism
#441D22,63282,68,29,34,5.03,Magic-Realism
#7E362A,38360,126,54,42,3.05,Magic-Realism
#A79788,24816,167,151,136,1.97,Magic-Realism
#A3682C,15462,163,104,44,1.23,Magic-Realism
#13171A,443075,19,23,26,62.02,Magic-Realism
#605F64,198409,96,95,100,27.77,Magic-Realism
#A99989,37494,169,153,137,5.25,Magic-Realism
