hex_code,occurence,R,G,B,percent,Movement
#DDE9D5,1784962,221,233,213,29.81,Neoclassicism
#69CAF5,743334,105,202,245,12.41,Neoclassicism
#002800,595108,0,40,0,9.94,Neoclassicism
#4A391D,141222,74,57,29,39.02,Neoclassicism
#B6896C,115101,182,137,108,31.8,Neoclassicism
#FFBE3C,94665,255,190,60,26.15,Neoclassicism
#D87B35,10960,216,123,53,3.03,Neoclassicism
#191814,883790,25,24,20,87.53,Neoclassicism
#B5B59D,85223,181,181,157,8.44,Neoclassicism
#5F2B1D,40429,95,43,29,4.0,Neoclassicism
#67645F,212,103,100,95,0.02,Neoclassicism
#000000,168738,0,0,0,54.54,Neoclassicism
#BCBCBC,140631,188,188,188,45.46,Neoclassicism
#020305,2743822,2,3,5,31.12,Neoclassicism
#C8934F,2741527,200,147,79,31.09,Neoclassicism
#FFEEC0,2339403,255,238,192,26.53,Neoclassicism
#727145,992689,114,113,69,11.26,Neoclassicism
#131313,489805,19,19,19,68.37,Neoclassicism
#586B57,115516,88,107,87,16.12,Neoclassicism
#EEEEE4,94407,238,238,228,13.18,Neoclassicism
#CBB46E,16701,203,180,110,2.33,Neoclassicism
#838582,569004,131,133,130,54.95,Neoclassicism
#040E10,249114,4,14,16,24.06,Neoclassicism
#453712,164844,69,55,18,15.92,Neoclassicism
#CADBED,52534,202,219,237,5.07,Neoclassicism
#E2EEEE,317727,226,238,238,40.26,Neoclassicism
#484220,185148,72,66,32,23.46,Neoclassicism
#000200,172778,0,2,0,21.9,Neoclassicism
#9C8132,113447,156,129,50,14.38,Neoclassicism
#1D242E,48315,29,36,46,37.88,Neoclassicism
#766B67,38812,118,107,103,30.43,Neoclassicism
#FFD77F,29915,255,215,127,23.45,Neoclassicism
#BF7B56,10518,191,123,86,8.25,Neoclassicism
#24231E,185165,36,35,30,59.1,Neoclassicism
#D3D0C1,103145,211,208,193,32.92,Neoclassicism
#777368,24988,119,115,104,7.98,Neoclassicism
#1C0D12,396330,28,13,18,74.95,Neoclassicism
#5D2318,71501,93,35,24,13.52,Neoclassicism
#9E7C61,59776,158,124,97,11.3,Neoclassicism
#FAD1B3,1191,250,209,179,0.23,Neoclassicism
#DBDCD4,155802,219,220,212,69.08,Neoclassicism
#868277,64758,134,130,119,28.71,Neoclassicism
#393536,4462,57,53,54,1.98,Neoclassicism
#CAA66A,525,202,166,106,0.23,Neoclassicism
#846247,755603,132,98,71,96.7,Neoclassicism
#CFAF76,25749,207,175,118,3.3,Neoclassicism
#010A09,829679,1,10,9,67.18,Neoclassicism
#948C89,405255,148,140,137,32.82,Neoclassicism
#040406,318336,4,4,6,69.13,Neoclassicism
#4B5054,102439,75,80,84,22.25,Neoclassicism
#AEA3A9,37996,174,163,169,8.25,Neoclassicism
#77331C,1707,119,51,28,0.37,Neoclassicism
#1B1B1B,130558,27,27,27,76.99,Neoclassicism
#D3D3D3,39016,211,211,211,23.01,Neoclassicism
#B99D76,123666,185,157,118,48.47,Neoclassicism
#292929,110891,41,41,41,43.46,Neoclassicism
#7F8293,10374,127,130,147,4.07,Neoclassicism
#724830,10209,114,72,48,4.0,Neoclassicism
#462F35,2227528,70,47,53,62.55,Neoclassicism
#937D7F,1221552,147,125,127,34.3,Neoclassicism
#DFD5CC,76064,223,213,204,2.14,Neoclassicism
#D4AC66,36155,212,172,102,1.02,Neoclassicism
#FFFEFF,586694,255,254,255,57.2,Neoclassicism
#473028,439001,71,48,40,42.8,Neoclassicism
#262624,860227,38,38,36,81.66,Neoclassicism
#8C4235,152357,140,66,53,14.46,Neoclassicism
#867240,38547,134,114,64,3.66,Neoclassicism
#E2C895,2351,226,200,149,0.22,Neoclassicism
#181619,1842672,24,22,25,68.59,Neoclassicism
#7E2831,463476,126,40,49,17.25,Neoclassicism
#8D7B65,372836,141,123,101,13.88,Neoclassicism
#EEDBCC,7471,238,219,204,0.28,Neoclassicism
#202020,392978,32,32,32,76.89,Neoclassicism
#DBBB94,74638,219,187,148,14.6,Neoclassicism
#7B6847,35195,123,104,71,6.89,Neoclassicism
#A44934,8280,164,73,52,1.62,Neoclassicism
#AD9275,113349,173,146,117,66.92,Neoclassicism
#FFFBF8,33058,255,251,248,19.52,Neoclassicism
#2B1A20,22347,43,26,32,13.19,Neoclassicism
#E0C470,619,224,196,112,0.37,Neoclassicism
#010101,626543,1,1,1,50.87,Neoclassicism
#705132,542093,112,81,50,44.01,Neoclassicism
#B8A46F,41085,184,164,111,3.34,Neoclassicism
#410507,21998,65,5,7,1.79,Neoclassicism
#635C4C,3424699,99,92,76,73.54,Neoclassicism
#E18846,648394,225,136,70,13.92,Neoclassicism
#FBFCDD,375072,251,252,221,8.05,Neoclassicism
#97A1BC,208748,151,161,188,4.48,Neoclassicism
#ACC3E2,1003678,172,195,226,37.96,Neoclassicism
#C6B49E,664735,198,180,158,25.14,Neoclassicism
#6B5234,619453,107,82,52,23.43,Neoclassicism
#D4706E,356240,212,112,110,13.47,Neoclassicism
#504237,449948,80,66,55,71.93,Neoclassicism
#E8BA64,101961,232,186,100,16.3,Neoclassicism
#D75442,42183,215,84,66,6.74,Neoclassicism
#8B9767,31460,139,151,103,5.03,Neoclassicism
#504A26,279712,80,74,38,38.27,Neoclassicism
#0D0E10,222614,13,14,16,30.46,Neoclassicism
#F6EFDF,117161,246,239,223,16.03,Neoclassicism
#934312,111326,147,67,18,15.23,Neoclassicism
#0D0C12,710251,13,12,18,61.02,Neoclassicism
#928A75,445365,146,138,117,38.26,Neoclassicism
#F0E7D6,7446,240,231,214,0.64,Neoclassicism
#553A25,915,85,58,37,0.08,Neoclassicism
#BBCAEB,241843,187,202,235,57.68,Neoclassicism
#813F25,93920,129,63,37,22.4,Neoclassicism
#11080B,51050,17,8,11,12.18,Neoclassicism
#F3CD48,32459,243,205,72,7.74,Neoclassicism
#161616,946281,22,22,22,55.33,Neoclassicism
#887D5F,726231,136,125,95,42.46,Neoclassicism
#682F24,29341,104,47,36,1.72,Neoclassicism
#BB963E,8424,187,150,62,0.49,Neoclassicism
#FFFFFB,308870,255,255,251,64.56,Neoclassicism
#C1A894,64297,193,168,148,13.44,Neoclassicism
#512524,54872,81,37,36,11.47,Neoclassicism
#FF7034,50382,255,112,52,10.53,Neoclassicism
#FFFFFF,549829,255,255,255,34.31,Neoclassicism
#A4A38E,489485,164,163,142,30.55,Neoclassicism
#2F3028,412973,47,48,40,25.77,Neoclassicism
#784D1A,150085,120,77,26,9.37,Neoclassicism
#020204,827327,2,2,4,73.29,Neoclassicism
#49381C,231961,73,56,28,20.55,Neoclassicism
#918659,47386,145,134,89,4.2,Neoclassicism
#A46021,22109,164,96,33,1.96,Neoclassicism
#000000,397235,0,0,0,51.44,Neoclassicism
#511306,299839,81,19,6,38.83,Neoclassicism
#E1D0BE,56417,225,208,190,7.31,Neoclassicism
#524A3F,18783,82,74,63,2.43,Neoclassicism
#212322,532365,33,35,34,87.22,Neoclassicism
#DECEAA,58869,222,206,170,9.64,Neoclassicism
#857855,14941,133,120,85,2.45,Neoclassicism
#7F342F,4225,127,52,47,0.69,Neoclassicism
#523722,5127056,82,55,34,34.63,Neoclassicism
#000000,3665420,0,0,0,24.76,Neoclassicism
#9AAACC,3559288,154,170,204,24.04,Neoclassicism
