hex_code,occurence,R,G,B,percent,Movement
#6F9995,759,111,153,149,0.09,Early-Renaissance
#F7F4D5,648,247,244,213,0.07,Early-Renaissance
#F7EF4C,38,247,239,76,0.0,Early-Renaissance
#7D2D38,308894,125,45,56,35.51,Early-Renaissance
#141213,258632,20,18,19,29.73,Early-Renaissance
#F5F5C1,125914,245,245,193,14.47,Early-Renaissance
#4E848E,68823,78,132,142,7.91,Early-Renaissance
#D04147,62328,208,65,71,7.16,Early-Renaissance
#C38961,44626,195,137,97,5.13,Early-Renaissance
#A3DCE3,651,163,220,227,0.07,Early-Renaissance
#513C0F,31,81,60,15,0.0,Early-Renaissance
#FFC3C5,15,255,195,197,0.0,Early-Renaissance
#66441E,949319,102,68,30,37.94,Early-Renaissance
#FBFBFB,719141,251,251,251,28.74,Early-Renaissance
#000100,432266,0,1,0,17.27,Early-Renaissance
#B78C48,373441,183,140,72,14.92,Early-Renaissance
#9B2C1B,17377,155,44,27,0.69,Early-Renaissance
#AA988A,8777,170,152,138,0.35,Early-Renaissance
#FFE699,1447,255,230,153,0.06,Early-Renaissance
#464F54,580,70,79,84,0.02,Early-Renaissance
#400000,37,64,0,0,0.0,Early-Renaissance
#030408,1559558,3,4,8,38.26,Early-Renaissance
#5C3A31,1118465,92,58,49,27.44,Early-Renaissance
#E1FFFF,626265,225,255,255,15.36,Early-Renaissance
#A28F88,506996,162,143,136,12.44,Early-Renaissance
#44567A,157552,68,86,122,3.87,Early-Renaissance
#E5DBA8,48838,229,219,168,1.2,Early-Renaissance
#BF694E,42974,191,105,78,1.05,Early-Renaissance
#8CABD7,15101,140,171,215,0.37,Early-Renaissance
#8A7639,454,138,118,57,0.01,Early-Renaissance
#EAD9BF,560645,234,217,191,49.37,Early-Renaissance
#162B2C,323166,22,43,44,28.46,Early-Renaissance
#A08165,229727,160,129,101,20.23,Early-Renaissance
#D37050,16910,211,112,80,1.49,Early-Renaissance
#F8CE6C,2644,248,206,108,0.23,Early-Renaissance
#587C7C,2546,88,124,124,0.22,Early-Renaissance
#765937,861727,118,89,55,74.98,Early-Renaissance
#000000,219583,0,0,0,19.11,Early-Renaissance
#DFD6AF,54675,223,214,175,4.76,Early-Renaissance
#C38D43,13306,195,141,67,1.16,Early-Renaissance
#15110E,267313,21,17,14,78.75,Early-Renaissance
#E39857,52936,227,152,87,15.6,Early-Renaissance
